統計年,國家,people,scope
108,中華人民共和國,1393400000 ,9506762 
108,印度,1356100000 ,2980000 
108,美國,328290000 ,9372610 
108,印尼,269470000 ,1904569 
108,巴西,214670000 ,8514877 
108,巴基斯坦,203110000 ,8818891 
108,奈及利亞,199990000 ,923768 
108,孟加拉國,167930000 ,143998 
108,俄羅斯,146630000 ,17098242 
108,墨西哥,133310000 ,1916068 
108,日本,126420000 ,377972 
108,衣索比亞,108590000 ,1104300 
108,菲律賓,106450000 ,300000 
108,埃及,98148000 ,1001449 
108,越南,97208000 ,331689 
108,民主剛果,86263000 ,342000 
108,土耳其,83540000 ,783562 
108,伊朗,82722000 ,1648195 
108,德國,81404000 ,357022 
108,泰國,68881000 ,513115 
108,英國,66175000 ,2436101 
108,法國,65207000 ,5515001 
108,意大利,59965000 ,301340 
108,坦桑尼亞,59680000 ,945087 
108,南非,56635000 ,1221037 
108,緬甸,55463000 ,676578 
108,南韓,51171000 ,100210 
108,肯亞,50518000 ,580367 
108,哥倫比亞,49939000 ,1138914 
108,西班牙,45806000 ,505992 
108,阿根廷,45035000 ,2780400 
108,烏干達,43719000 ,241038 
108,蘇丹,43375000 ,1886068 
108,阿爾及利亞,42432000 ,2381741 
108,烏克蘭,42198000 ,603700 
108,伊拉克,40871000 ,438317 
108,波蘭,38646000 ,312685 
108,加拿大,37281000 ,9984670 
108,阿富汗,36168000 ,652090 
108,摩洛哥,36071000 ,446550 
108,沙烏地阿拉伯,34233000 ,2149690 
108,秘魯,32868000 ,1285216 
108,委內瑞拉,32691000 ,9120501 
108,馬來西亞,32580000 ,329847 
108,烏茲別克,31514000 ,447400 
108,莫桑比克,30846000 ,801590 
108,加納,29810000 ,238533 
108,尼泊爾,29722000 ,147181 
108,葉門,29367000 ,527968 
108,安哥拉,28061000 ,1246700 
108,馬達加斯加,26707000 ,587041 
108,北韓,25630000 ,120538 
108,喀麥隆,25482000 ,475442 
108,澳洲,25220000 ,7692024 
108,科特迪瓦,24682000 ,322463 
108,中華民國,23589000 ,361971 
108,尼日爾,22840000 ,1267000 
108,斯里蘭卡,21089000 ,65610 
108,布吉納法索,20056000 ,274000 
108,馬利,19517000 ,1240192 
108,馬拉威,19147000 ,118484 
108,羅馬尼亞,18963000 ,238391 
108,智利,18637000 ,756096 
108,哈薩克,18618000 ,2724900 
108,尚比亞,18022000 ,752618 
108,瓜地馬拉,17576000 ,108889 
108,荷蘭,17291000 ,41528 
108,厄瓜多,17174000 ,283561 
108,敘利亞,16993000 ,185180 
108,塞內加爾,16852000 ,196722 
108,辛巴威,16843000 ,390757 
108,柬埔寨,16490000 ,181035 
108,查德,15747000 ,1284000 
108,南蘇丹,14249000 ,619745 
108,幾內亞,13856000 ,245857 
108,盧安達,12630000 ,26338 
